name,description,indication
Lepirudin,lepirudin recombinant hirudin formed 65 amino acid act highly specific direct thrombin inhibitor l41539 l41569 natural hirudin endogenous anticoagulant found _hirudo medicinalis_ leech l41539 lepirudin produced yeast cell identical natural hirudin except absence sulfate tyrosine residue position 63 substitution leucine isoleucine position 1 n-terminal end a246609 lepirudin used anticoagulant patient heparin-induced thrombocytopenia hit immune reaction associated high risk thromboembolic complication a3 l41539 hit caused expression immunoglobulin g igg antibody bind complex formed heparin platelet factor 4 activates endothelial cell platelet enhances formation thrombus a246609 bayer ceased production lepirudin refludan effective may 31 2012 l41574 ,lepirudin indicated anticoagulation adult patient acute coronary syndrome ac unstable angina acute myocardial infarction without st elevation patient ac lepirudin intended use aspirin l41539 lepirudin also indicated anticoagulation patient heparin-induced thrombocytopenia hit associated thromboembolic disease order prevent thromboembolic complication l41539 
Cetuximab,cetuximab recombinant chimeric human/mouse igg1 monoclonal antibody competitively bind epidermal growth factor receptor egfr competitively inhibits binding epidermal growth factor egf a227973 egfr member erbb family receptor tyrosine kinase found normal tumour cell responsible regulating epithelial tissue development homeostasis a228083 egfr implicated various type cancer often overexpressed malignant cell a227973 egfr overexpression linked advanced disease poor prognosis a227963 egfr often mutated certain type cancer serf driver tumorigenesis a228083 _in vitro_ cetuximab shown mediate anti-tumour effect numerous cancer cell line human tumour xenograft a227963 approved fda february 2004 brand name erbitux cetuximab used treatment head neck cancer metastatic kras wild-type colorectal cancer metastatic colorectal cancer braf v600e mutation a227963 l39045 also investigated advanced colorectal cancer egfr-expressing non-small cell lung cancer nsclc unresectable squamous cell skin cancer l31418 cetuximab administered via intravenous infusion used monotherapy combination chemotherapy including platinum agent radiation therapy leucovorin fluorouracil irinotecan l30448 ,cetuximab indicated treatment locally regionally advanced squamous cell carcinoma head neck combination radiation therapy indicated treating recurrent locoregional disease metastatic squamous cell carcinoma head neck combination platinum-based therapy fluorouracil indicated recurrent metastatic squamous cell carcinoma head neck progressing platinum-based therapy l30448 cetuximab also indicated k-ras wild-type egfr-expressing metastatic colorectal cancer determined fda-approved test combination folfiri chemotherapy combination includes leucovorin fluorouracil irinotecan combination irinotecan patient refractory irinotecan-based chemotherapy monotherapy patient failed oxaliplatin- irinotecan-based chemotherapy intolerant irinotecan l30448 additionally cetuximab also indicated metastatic colorectal cancer braf v600e mutation-positive determined fda-approved test combination encorafenib prior therapy l39045 cetuximab indicated treatment ras-mutant colorectal cancer result ra mutation test unknown l30448 
Dornase alfa,dornase alfa biosynthetic form human deoxyribunuclease dnase enzyme produced genetically modified chinese hamster ovary cho cell using recombinant dna technology 260-amino acid sequence dornase alfa identical endogenous human enzyme dornase alfa cleaves extracellular dna 5´-phosphodinucleotide 5´-phosphooligonucleotide end product without affecting intracellular dna individual cystic fibrosis extracellular dna extremely viscous anion released degenerating leukocyte accumulate inflammatory response infection enzymatic breakdown extracellular dna appears reduce sputum viscosity viscoelasticity ,used adjunct therapy treatment cystic fibrosis 
Denileukin diftitox, recombinant dna-derived cytotoxic protein composed amino acid sequence diphtheria toxin fragment b met 1-thr 387 -his followed sequence interleukin-2 il-2 ala 1-thr 133 produced e. coli expression system , treatment cutaneous t-cell lymphoma
Etanercept,dimeric fusion protein consisting extracellular ligand-binding portion human 75 kilodalton p75 tumor necrosis factor receptor tnfr linked fc portion human igg1 l14862 a216522 fc component etanercept contains ch2 domain ch3 domain hinge region ch1 domain igg1 etanercept produced recombinant dna technology chinese hamster ovary cho mammalian cell expression system consists 934 amino acid used treat manage variety inflammatory condition including rheumatoid arthritis ra ankylosing spondylitis juvenile idiopathic poly-articular arthritis jia ,etanercept indicated treatment moderately severely active rheumatoid arthritis adult chronic moderate severe plaque psoriasis patient 4 year age older l14862 also used manage sign symptom polyarticular idiopathic arthritis aged 2 year older etanercept also used manage symptom psoriatic arthritis ankylosing spondylitis 
Bivalirudin,bivalirudin synthetic 20 residue peptide thrombin inhibitor reversibly inhibits thrombin bound active site thrombin activate fibrinogen fibrin crucial step formation thrombus administered intravenously cause blood stagnation important monitor change hematocrit activated partial thromboplastin time international normalized ratio blood pressure , treatment heparin-induced thrombocytopenia prevention thrombosis bivalirudin indicated use patient undergoing percutaneous coronary intervention pci patient moderate high risk acute coronary syndrome due unstable angina non-st segment elevation pci planned 
Leuprolide,leuprolide synthetic 9-residue peptide analogue gonadotropin-releasing hormone gnrh unlike endogenous decapeptide gnrh leuprolide contains single d-amino acid d-leucyl residue help increase circulating half-life three four minute approximately three hour a203222 gnrh mimic leuprolide capable binding gnrh receptor gnrhr inducing downstream modulation gonadotropin hormone sex steroid level prolonged activation gnrhr result significant downregulation sex steroid level primarily responsible clinical efficacy leuprolide diverse condition including advanced prostate cancer endometriosis central precocious puberty a203126 a203132 leuprolide first approved 1985 daily subcutaneous injection tradename lupron™ abbvie endocrine inc. l13850 since initial approval various long-acting intramuscular subcutaneous product developed patient dosed every six month l13781 l13790 leuprolide remains frontline therapy condition indicated use ,leuprolide indicated treatment advanced prostate cancer l13781 l34415 palliative treatment advanced prostate cancer l13790 also used treatment pediatric patient central precocious puberty cpp l13784 l13787 combination oral norethisterone also known norethindrone leuprolide also indicated initial treatment symptom endometriosis l10310 finally combination iron supplementation leuprolide indicated preoperative hematological improvement anemic patient uterine leiomyomata uterine fibroid l13814 
Peginterferon alfa-2a,peginterferon alfa-2a form recombinant interferon used part combination therapy treat chronic hepatitis c infectious liver disease caused infection hepatitis c virus hcv hcv single-stranded rna virus categorized nine distinct genotype genotype 1 common united state affecting 72 chronic hcv patient l852 treatment option chronic hepatitis c advanced significantly since 2011 development direct acting antiviral daas resulting le use peginterferon alfa-2a peginterferon alfa-2a derived alfa-2a moeity recombinant human interferon act binding human type 1 interferon receptor activation dimerization receptor induces body 's innate antiviral response activating janus kinase/signal transducer activator transcription jak/stat pathway use peginterferon alfa-2a associated wide range severe adverse effect including aggravation development endocrine autoimmune disorder retinopathy cardiovascular neuropsychiatric complication increased risk hepatic decompensation patient cirrhosis use peginterferon alfa-2a largely declined since newer interferon-free antiviral therapy developed joint recommendation published 2016 american association study liver disease aasld infectious disease society america idsa longer recommend peginterferon alfa-2a treatment hepatitis c a19593 peginterferon alfa-2a used alongside db00811 intent cure achieve sustained virologic response svr 48 week therapy svr eradication hcv infection associated significant long-term health benefit including reduced liver-related damage improved quality life reduced incidence hepatocellular carcinoma reduced all-cause mortality a19626 peginterferon alfa-2a available fixed dose injector tradename pegasys used treatment chronic hepatitis c. approved 2002 fda pegasys indicated treatment hcv db00811 antiviral drug fda label combined together peginterferon alfa-2a db00811 shown achieve svr 36 genotype 1 59 genotype 2-6 48 week treatment ,peginterferon alfa-2a indicated treatment hcv combination antiviral drug patient 5 year age compensated liver disease fda label may used monotherapy patient contraindication significant intolerance anti-viral therapy peginterferon alfa-2a also indicated monotherapy adult patient hbeag positive hbeag negative chronic hepatitis b infection compensated liver disease evidence viral replication liver inflammation fda label 
Alteplase,alteplase recombinant tissue plasminogen activator rt-pa used thrombolytic agent l43125 cleaves plasminogen form plasmin enzyme involved degradation fibrin clot absence fibrin alteplase-mediated conversion plasminogen limited thanks high affinity alteplase fibrin a252330 l43125 alteplase purified glycoprotein 527 amino acid expressed chinese hamster ovary cho cell a252345 l43125 first approved fda 1987 management thromboembolic disease including acute myocardial infarction ami a252270 use alteplase manage ami decreased thanks availability safer treatment angioplasty stenting however use treatment acute ischemic stroke ai increased year a252340 new thrombolytic agent derived tissue plasminogen activator desmoteplase tenecteplase reteplase also developed a252270 a252345 alteplase also available cathflo activase intracatheter instillation restoration function central venous access device l34864 ,alteplase indicated treatment acute ischemic stroke ai use acute myocardial infarction ami reduction mortality incidence heart failure alteplase also indicated lysis acute massive pulmonary embolism defined acute pulmonary embolus obstructing blood flow lobe multiple lung segment acute pulmonary embolus accompanied unstable hemodynamics l43125 
Sermorelin,sermorelin acetate acetate salt amidated synthetic 29-amino acid peptide grf 1-29 nh 2 corresponds amino-terminal segment naturally occurring human growth hormone-releasing hormone ghrh grf consisting 44 amino acid residue, treatment dwarfism prevention hiv-induced weight loss
