name_tejary,mavared_masraf,avarez_janebi,amozesh,tavajohat
Milk Of Magnesia, عنوان آنتی اسید ملین استفاده قرار میگیرد بیمار بستری های بیمارستان کاهش تحرک نرفتن یبوست دارو مفید ,اسهال مشکلات قلب اختلالات نوار قلب EEG 1 ," دارو همراه مایعات استفاده مصرف, شیشه دارو تکان داد#ده ",توصیه لیوان آب دارو میل مصرف دراز وابستگی ایجاد 
Catapres," کنترل فشار خون همراه بیمار های کلیوی درمان محرومیت مواد مخدر کودک فعال توجه, سردرد های میگرن",خشکی دهان تهوع استفراغ یبوست نارسایی قلب عصبانیت قرار کهیر نازک مو نا توانی جنس خارش عود فشار خون, مصرف همزمان آنتی هیستامین خوددار نوبت دارو خواب استفاده ,معاینه چشم مرتب انجام ارو تدریج قطع فشار خون بیمار مرتب چک 
Dobutrex,درمان نارسایی حاد قلب شوک قلب عفونی جراح قلب افزایش ضرب قلب,"حملات آسم کاهش فشار خون حساسیت شدید, تهوع سردرد تپش قلب تنگ نفس"," صورت تشدید علائم پزشک اطلاع داد#ده محل تزریق درد ایجاد شود, صورت پرستار اطلاع داد#ده ",مایعات بیمار تامین نوار قلب فشار خون بیمار کنترل 
Decadrol,"التهاب دهان دارو مخصوص تست تشخیص بیمار های غده کلیه ورم مغز استفراغ التهاب مفاصل, درمان کمک مننژیت باکتریال ورم مجاری هوا",زخم دستگاه گوارش بیخوابی احساس انرژی سرخوشی تشنج,بتامتازون خوراک همراه غذا شیر استفاده ,قطع دارو استروئیدی تدریج هفته صورت 
Proscar,درمان هیپرپلازی خوش خیم پروستات BPH آلوپسی طاس مردانه درمان هیرسوتیسم زن,"کاهش میل جنس ضایعات جلدی, تورم پستان ....", بیمار دارو قطع ریزش مو مردانه سال آغاز ," درمان رشدخوش خیم پروستات سال وقت بیمار BPH, تست های پروستات بدخیم انجام وضعیت کلیه سنگ انسداد مطالعه "
Buspar,,سردرد سرگیجه تهوع خشکی دهان اسهال,دارو همراه غذا مصرف قطع ناگهانی دارو ضد اضطراب اجتناب راننگی کار ظریف پرهیز ,علائم بهبود 7 10 روز آشکار نتایج 4 هفته ظاهر 
SpoRANOX,عفونت قارچ آسپرژیلوس بلاستومایکوزیس هیستوپلاسموزیس عفونت های کاندیدا مننژیت کرپیتوکوکی کرات قارچ,دل درد اسهال سردرد رفتن فشار خون بزرگ پستان کچلی موضع تورم اندام ها,دارو لیوان آب میل صورت حساسیت دارو قطع پزشک اطلاع داد#ده صورت مصرف دارو های قلبیمثل دیگوکسین پزشک اطلاع داد#ده رنگ ادرار مدفوع پزشک اطلاع داد#ده ,تست های کبد ارزیاب کشت قارچ اسمیر مطمئن شد#شو 
Dostinex,بیمار افزایش ترشح پرولاکتین بیمار پارکینسون, قرار افسردگی کاهش فشار خون تهوع یبوست اسهال درد پستان سرگیجه خوابید#خواب,مصرف دارو 6 ماه طبیعی سطح هورمون پرولاکتین ادامه همراه دارو مصرف ایندرال قرص ضد حاملگی مجاز ,میزان دارو اندازه پرولاکتین سرید#سر ارزیاب کاهش فشار خون جزء موارد مد گرفت#گیر 
Buprenex,تسکین درد های شدید بیهوشی کنترل برگرداندن مهار تنفس فنتانیل بیهوشی,سرگیجه سردرد کاهش فشار خون تهوع تعریق رفتن فشار خون,احتمال سرگیجه فیزیو تراپی قفسه سینه انجام تنفس عمیق سرفه ها صورت استفاده بیهوشی عمل بیمار ضروری ,احتمال محال سیستم تنفس 
Miochol, عمل جراح عدس چشم کاتاراکت آب مروارید ,آتروفی عنبیه چشم کدورت عدس چشم اختلال دید کاهش فشار خون شایع عارضا اشکال تنفس تعریق,سوزش چشم سر درد جزء عوارض همراه بیمار خاطر نشان صورت گر گرفتگی تعریق پزشک اطلاع داد#ده , دارو نا پایدار بنابر کادر درمانی دانست#دان مابقی دارو درو ریخت#ریز 
Alphagan,آب سیاه چشم کاهش فشار چشم گلوکوم ,سرگیجه خشکی دهان تار دید پرخور سرفه, خستگی سرگیجه رانندگی کار دقیق اجتناب ,فشار داخل چشم مصرف منظم کنترل 
Vinuphos,افزاش بیدار هشیار تسریع کارکرد عضلات افزایش عملکرد سیستم تنفس همراه ضد درد آسپیرین کدئین مصرف ,تعوع سر درد خوابید#خواب تشنج وزوزگوش توهم بینایی افزایش ناراحت گوارش ,مصرف آ « خطرناک , ضورت علائم مسمومیت شستشو معده تخلیه مفید 
Apomorphin Hcl,ایجاد استفراغ مسمومیت دارویی, قرار لرزش دست خواب آلودگی تهوع نارسایی قلب حاد مشکل تنفس,بیمار تزریق 200 300 میلی لیتر آب نوشید#نوش بیمار وضعیت قرار گرفت#گیر احتمال آسیپیراسیون مواد استفراغ داخل ریه داشت#دار ,استفراغ ظرف 5 دقیقه تزریق ایجاد علائم حیاتی بیمار 2 ساعت تزریق کنترل 
Bellergal,پیسگیری سردرد های میگرن مشکلات هیجان سردرد قاعدگی کاهش علائم یائسگی,تار دید خشکی دهان علائم عصبی مشکلات اداری ,دارو نیم ساعت غذا شب موقع خواب مصرف صورت تار دید خواب آلودگی راننگی اجتناب مایعات نوشید#نوش ,پزشک سابقه بیمار های کلیوی کبد چشم رسید#رس فاصه تجویز آنتی اسید دارو ساعت بیمار آنتی اسید غذا مصرف 
Ergomar,درمان سردرد های عروق میگرن ,تهوع استفراغ خول آلودگی ضعف عموم ضعف شدید درد شکم پارسنتری تشنج,مصرف سرانه میزان بالا دارو ممنوع دارو جویده بلعیده صورت شعف عموم سردی انگ پزشک اطلاع داد#ده استعمال همزمان سیگار خطرناک عفونت احتمال پزشک اطلاع داد#ده , صورت تهوع شدید متوکلوپرامید خوراک تزریق استفاده 
Colgout,درمان نقرس درمان آ میلوئیدوز آرتریت بهجت سیروز کبد,"تهوع استفراغ عوارض پوست کهیر درماتیت درد شکم اسهال پایین آمدن فشار خون گیجید#گیج ریزش مو, تکرر ادرار",دارو شیر غذا مصرف صورت استفراغ ساهال شدید مشکل تنفس کاهش ادرار علائم مسمومیت پزشک مراجعه ,آژمایشهای کلیوی خون کنترل الزام بهبود علائم دارو قطع 
DtIC,سرطان های خون سرطان پوست ملانوم بدخیم ,عوارض خون اسهال زخم دهان استفراغ اشتهایی خون,بیمار بایست پزشک پیگیری آزمایش همکار تار دید اختلال حس نشانه مسمومیت , داور طریق ورید استفاده شمارش سلول های خون منظم انجام ارجح بیمار ابتدا درمان بیمارستان بستری 
Endoxan,درمان سرطان های لنفوم اوسمی سرطان تخمدان پستان بیمار نارسایی کلیه سندرم نفروتیک رماتیسم بیمار بافت همبند,تهوع استفراغ خون ادرار عوارض خون خونریزی اختلال الکترولیت های خون عوارض قلب اسهال, صورت خونریزی ادرار مدفوع دهان پوست پزشک اطلاع داد#ده اسهال همراه درد شکم متناوب تهوع ضعف عموم نشانگر کمبود پتاسیم پزشک اطلاع داد#ده ,قرص معده خال مصرف آزمایش های خون انجام 
Leukeran,"درمان سرطان های لوسمی لنفوم هوچکین هوچکین ,به جانبی درمان روماتوئید آرتریت سندرم بهجت استفاده میشود ",کاهش سلول های خون اختلالات خون خون عوارض ریوی سرفه مشکلات گوارش زخم دهان,بیمار 2 هفته معاینه قرار گرفت#گیر زن سن باردار جلوگیری استفاده دارو شدت حاملگی خطرناک توام اختلالات جنین ,بررسی آزمایش خون حین درمان ضروری احتمال عفونت خونریزی برا بیمار گوشزد خانم ها عملکرد تخمدان دوره ماهانه مختل 
Mustargen,لنفوم لنفوسارکوم سرطان ریه سرطان ها CML CLL,تهوع استفراغ تمایل خونریزی سرگیجه خواب آلودگی اشتهایی, دستور متوالی پزشک مراجعه صورت خونریزی خونمردگی پزشک اطلاع داد#ده کچلی دارو برگ پذیر مسواک زدن دقت مسواک نرم استعمال سیگار نوشید#نوش الکل خطرناک , تزریق دستکش ماسک استفاده 
Bicnu, درمان سرطان های مغز ساقه مغز لنفوم مولتیپل میلوما, ایجاد ترومبوسیتوپنی کاهش سلول های پلاکت خون لوسمی حاد اسهال اشتهایی ترومبوز ایجاد لخته رگ ها , تزریق محل تزریق یخ قرار داد#ده حین درمان برافروختگی رخ زود رود ریزش مو احتمال عفونت ویروس بیمار تذکر داد#ده ,تست های کبد کلیوی خون حین درمان انجام بیمار دلیل عوارض شدید دارو مستقیم پزشک احنمال خونریزی بیمار گوشزد 
